PDB ID,Ln.K_f.,HYDROPHOBICITY,MOLECULAR_WEIGHT,DEGREE,WEIGHTED_DEGREE,RESIDUE_FREQUENCY,CLUSTERING_COEFFICIENT,BETWEENNESS_CENTRALITY,PAGE_RANK
1AEY,2.09,0.7178387798,0.7464424304,0.7270508251,0.6985102534,0.8862170321,0.8840338039,0.632642836622839,0.705954861980031
1APS,1.48,0.660275837,0.7258378526,0.6495468948,0.6261952655,0.7632889947,0.8270498759,0.566904071340106,0.614140371668624
1AYE,6.8,0.8840606023,0.8202428632,0.8175130933,0.7742528056,0.9085271882,0.9275807531,0.79040182395783,0.763533756391503
1BDD,11.75,0.7877574893,0.8553675144,0.8755664559,0.8295691491,0.8710166754,0.9664340281,0.784657301014654,0.832084473807919
1BRS,3.4,0.7789015129,0.7748744226,0.7947394219,0.7954855244,0.8625292241,0.9164754945,0.722135039074053,0.765350728070367
1C8C,6.91,0.7163899894,0.7761526214,0.7615051696,0.7101756804,0.8424272432,0.8961407278,0.644236930529704,0.720637134435392
1C9O,7.2,0.6571969597,0.7562723098,0.711400328,0.6796028529,0.7709784636,0.8341963155,0.630020101531162,0.691487503174784
1CIS,3.87,0.6553427726,0.7488320051,0.7466234637,0.7498805809,0.7429655876,0.8679584903,0.574208799275932,0.713055538806498
1COA,3.87,0.6909160461,0.7593450095,0.7847528741,0.739924344,0.7316221273,0.8680355675,0.66266582766283,0.715017516620156
1CSP,6.98,0.6550065798,0.7490728724,0.7134027897,0.6468590299,0.7526348366,0.8489536939,0.610080467569606,0.65575858256519
1DIV,6.58,0.805236146,0.8413535529,0.8207981279,0.787528836,0.8869072402,0.9229519968,0.872676011142286,0.781984149035106
1EBD,9.68,0.9496493347,0.907892768,0.8977081881,0.8361536991,0.9569302485,0.959841449,0.841917931629435,0.854544489786754
1ENH,10.53,0.834981563,0.8949076344,0.8186676173,0.7473064779,0.8757520959,0.9630620393,0.746866769807352,0.743052560332919
1FKB,1.46,0.6259547242,0.7541115782,0.6830232075,0.6632691073,0.7401062938,0.8025127471,0.603311943435643,0.65987590700669
1G6P,6.3,0.5862866819,0.7417184551,0.6445414788,0.6332513703,0.8138812739,0.8418521504,0.580037390318491,0.64971843449496
1HDN,2.7,0.632600109,0.7421689097,0.7204224295,0.6813641804,0.7587049581,0.8390946273,0.63735963932298,0.68795821085194
